Time [s],Packet ID,MOSI,MISO
3.403721125000000,82,'12' (0x0C),'0' (0x00)
3.403726375000000,82,l (0x6C),'15' (0x0F)
3.403740625000000,83,o (0x6F),'15' (0x0F)
3.403744750000000,83,\r (0x0D),'0' (0x00)
3.403750000000000,83,Z (0x5A),'15' (0x0F)
3.403764250000000,84,o (0x6F),'15' (0x0F)
3.403768500000000,84,'14' (0x0E),'0' (0x00)
3.403773625000000,84,'225' (0xE1),'15' (0x0F)
3.403790625000000,85,'186' (0xBA),'0' (0x00)
3.403815000000000,86,'127' (0x7F),'15' (0x0F)
3.403820250000000,86,/ (0x2F),'15' (0x0F)
3.403825250000000,86,'1' (0x01),'15' (0x0F)
3.403830000000000,86,'0' (0x00),'15' (0x0F)
3.403834625000000,86,l (0x6C),'15' (0x0F)
3.403839375000000,86," (0x22),'15' (0x0F)
3.403844375000000,86,! (0x21),'15' (0x0F)
3.403849125000000,86,'225' (0xE1),'15' (0x0F)
3.403853875000000,86,'27' (0x1B),'15' (0x0F)
3.403858625000000,86,'0' (0x00),'15' (0x0F)
3.403863500000000,86,< (0x3C),'15' (0x0F)
3.403868250000000,86,'167' (0xA7),'15' (0x0F)
3.403873000000000,86,'169' (0xA9),'15' (0x0F)
3.403877750000000,86,'206' (0xCE),'15' (0x0F)
3.403882750000000,86,'141' (0x8D),'15' (0x0F)
3.403887500000000,86,'245' (0xF5),'15' (0x0F)
3.403892125000000,86,'213' (0xD5),'15' (0x0F)
3.403896875000000,86,'221' (0xDD),'15' (0x0F)
3.403901875000000,86,'158' (0x9E),'15' (0x0F)
3.403906625000000,86,a (0x61),'15' (0x0F)
3.403911375000000,86,'27' (0x1B),'15' (0x0F)
3.403916125000000,86,'240' (0xF0),'15' (0x0F)
3.403921000000000,86,'196' (0xC4),'15' (0x0F)
3.403925750000000,86,e (0x65),'15' (0x0F)
3.403930500000000,86," (0x22),'15' (0x0F)
3.403935250000000,86,'151' (0x97),'15' (0x0F)
3.403940250000000,86,'157' (0x9D),'15' (0x0F)
3.403945000000000,86,r (0x72),'15' (0x0F)
3.403949750000000,86,'173' (0xAD),'14' (0x0E)
3.403954625000000,86,'24' (0x18),'30' (0x1E)
3.403959625000000,86,+ (0x2B),'30' (0x1E)
3.403964375000000,86,6 (0x36),'30' (0x1E)
3.403969125000000,86,'174' (0xAE),'30' (0x1E)
3.403973875000000,86,C (0x43),'30' (0x1E)
3.403978875000000,86,'241' (0xF1),'30' (0x1E)
3.403983500000000,86,'247' (0xF7),'30' (0x1E)
3.403988250000000,86,\ (0x5C),'30' (0x1E)
3.403993000000000,86,\t (0x09),'30' (0x1E)
3.403998000000000,86,'146' (0x92),'30' (0x1E)
3.404002750000000,86,'247' (0xF7),'30' (0x1E)
3.404007500000000,86,'219' (0xDB),'30' (0x1E)
3.404012125000000,86,'185' (0xB9),'30' (0x1E)
3.404017125000000,86,n (0x6E),'30' (0x1E)
3.404021875000000,86,; (0x3B),'30' (0x1E)
3.404026625000000,86,'188' (0xBC),'30' (0x1E)
3.404031375000000,86,'200' (0xC8),'30' (0x1E)
3.404036375000000,86,'212' (0xD4),'30' (0x1E)
3.404041000000000,86,W (0x57),'30' (0x1E)
3.404058500000000,87,'181' (0xB5),'0' (0x00)
3.502510625000000,88,'182' (0xB6),'0' (0x00)
3.502523500000000,89,o (0x6F),'15' (0x0F)
3.502528000000000,89,'12' (0x0C),'0' (0x00)
3.502533250000000,89,l (0x6C),'15' (0x0F)
3.502547500000000,90,o (0x6F),'15' (0x0F)
3.502551625000000,90,\r (0x0D),'0' (0x00)
3.502556875000000,90,z (0x7A),'15' (0x0F)
3.502571125000000,91,o (0x6F),'15' (0x0F)
3.502575375000000,91,'14' (0x0E),'0' (0x00)
3.502580500000000,91,'225' (0xE1),'15' (0x0F)
3.502595750000000,92,'186' (0xBA),'0' (0x00)
3.503185000000000,93,'239' (0xEF),'16' (0x10)
3.503189250000000,93,q (0x71),'0' (0x00)
3.503194125000000,93,'0' (0x00),'128' (0x80)
3.503207625000000,94,'239' (0xEF),'16' (0x10)
3.503211875000000,94,r (0x72),'0' (0x00)
3.503217125000000,94,'0' (0x00),'0' (0x00)
3.902112375000000,95,'182' (0xB6),'16' (0x10)
3.902125250000000,96,o (0x6F),'15' (0x0F)
3.902129500000000,96,'12' (0x0C),'0' (0x00)
3.902134750000000,96,l (0x6C),'15' (0x0F)
3.902149000000000,97,n (0x6E),'14' (0x0E)
3.902153375000000,97,'26' (0x1A),'0' (0x00)
3.902172625000000,98,o (0x6F),'15' (0x0F)
3.902176875000000,98,'14' (0x0E),'0' (0x00)
3.902182250000000,98,'225' (0xE1),'15' (0x0F)
3.902199000000000,99,'186' (0xBA),'0' (0x00)
3.902210875000000,100,'187' (0xBB),'0' (0x00)
3.902223625000000,101,'127' (0x7F),'15' (0x0F)
3.902228875000000,101,/ (0x2F),'15' (0x0F)
3.902233625000000,101,'1' (0x01),'15' (0x0F)
3.902238375000000,101,'1' (0x01),< (0x3C)
3.902243750000000,101,'176' (0xB0),< (0x3C)
3.902248500000000,101,'136' (0x88),< (0x3C)
3.902253250000000,101,'135' (0x87),< (0x3C)
3.902258000000000,101,'132' (0x84),< (0x3C)
3.902263000000000,101,l (0x6C),< (0x3C)
3.902267750000000,101,'1' (0x01),8 (0x38)
3.902272625000000,101,'229' (0xE5),x (0x78)
3.902277375000000,101,= (0x3D),x (0x78)
3.902282375000000,101,N (0x4E),x (0x78)
3.902287125000000,101,t (0x74),x (0x78)
3.902291875000000,101,o (0x6F),x (0x78)
3.902296625000000,101,'174' (0xAE),x (0x78)
3.902301500000000,101,'174' (0xAE),x (0x78)
